Soil_Type,Soil_pH,Moisture_Level,Season,Location_Region,Previous_Crop,Recommended_Crop
Loamy,4.57,Low,Zaid,Tamil Nadu,Rice,Banana
Laterite,6.88,High,Rabi,Karnataka,Wheat,Rice
Clay,7.15,High,Rabi,Uttar Pradesh,None,Cotton
Laterite,5.89,Low,Kharif,Karnataka,Groundnut,Cumin
Alluvial,6.76,High,Rabi,Gujarat,Sugarcane,Pulses
Clay,8.11,Low,Rabi,Maharashtra,Pulses,Soybean
Alluvial,6.92,Medium,Zaid,Telangana,Rice,Pulses
Red,5.7,High,Rabi,Haryana,Rice,Rice
Sandy,8.13,High,Rabi,Bihar,None,Wheat
Red,7.91,High,Rabi,Kerala,Wheat,Maize
Laterite,5.18,Medium,Rabi,Karnataka,Cotton,Maize
Red,7.99,High,Kharif,Bihar,Maize,Groundnut
Laterite,7.11,Medium,Zaid,Gujarat,Cotton,Maize
Black,5.08,Medium,Rabi,Tamil Nadu,Pulses,Cumin
Sandy,7.44,High,Rabi,Punjab,Wheat,Cotton
Red,5.95,High,Rabi,Uttar Pradesh,Rice,Cotton
Sandy,7.23,Low,Rabi,Telangana,Maize,Soybean
Black,5.12,Medium,Zaid,Gujarat,None,Wheat
Loamy,6.2,Low,Rabi,Punjab,Sugarcane,Pulses
Red,4.74,High,Rabi,Gujarat,None,Wheat
Red,7.32,Low,Kharif,Telangana,None,Soybean
Red,6.69,Low,Kharif,Punjab,Groundnut,Sugarcane
Clay,5.5,High,Zaid,Uttar Pradesh,Groundnut,Sugarcane
Red,7.72,High,Zaid,Tamil Nadu,Groundnut,Pulses
Red,8.44,Medium,Zaid,Uttar Pradesh,Pulses,Wheat
Clay,8.28,High,Rabi,Punjab,Groundnut,Rice
Black,4.73,Low,Rabi,Kerala,Rice,Wheat
Red,6.03,Medium,Zaid,Haryana,Sugarcane,Cotton
Laterite,7.32,Low,Kharif,Gujarat,Wheat,Maize
Sandy,8.08,High,Zaid,Uttar Pradesh,Pulses,Banana
Clay,4.85,High,Kharif,Tamil Nadu,Sugarcane,Cumin
Sandy,4.95,Medium,Zaid,Kerala,Pulses,Sugarcane
Loamy,4.53,Low,Zaid,Maharashtra,Rice,Wheat
Red,4.81,Medium,Zaid,Maharashtra,Wheat,Pulses
Clay,6.12,Low,Zaid,Kerala,Wheat,Cotton
Loamy,7.49,Medium,Kharif,Maharashtra,Groundnut,Banana
Clay,8.07,Medium,Rabi,Telangana,Pulses,Banana
Clay,6.13,Low,Zaid,Gujarat,Cotton,Groundnut
Clay,5.39,Low,Zaid,Haryana,Cotton,Pulses
Laterite,6.27,Low,Zaid,Kerala,Maize,Wheat
Black,6.32,Low,Zaid,Haryana,Pulses,Maize
Sandy,8.17,Medium,Zaid,Gujarat,None,Wheat
Sandy,6.54,Medium,Kharif,Karnataka,Sugarcane,Maize
Alluvial,7.33,Medium,Kharif,Uttar Pradesh,Pulses,Maize
Alluvial,6.23,High,Rabi,Karnataka,Pulses,Banana
Black,6.67,High,Zaid,Tamil Nadu,Cotton,Soybean
Laterite,6.77,Medium,Zaid,Punjab,Pulses,Rice
Red,7.83,High,Zaid,Uttar Pradesh,Wheat,Sugarcane
Sandy,8.02,High,Rabi,Gujarat,Wheat,Sugarcane
Clay,7.05,Medium,Zaid,Bihar,Groundnut,Cumin
Red,6.35,Medium,Rabi,Bihar,Wheat,Rice
Black,7.49,Medium,Rabi,Uttar Pradesh,Rice,Cotton
Sandy,7.46,Medium,Rabi,Haryana,Cotton,Sugarcane
Black,6.5,Low,Kharif,Telangana,Cotton,Wheat
Loamy,7.73,Low,Rabi,Uttar Pradesh,Groundnut,Soybean
Clay,8.4,Medium,Kharif,Haryana,Pulses,Rice
Sandy,7.78,High,Rabi,Punjab,Maize,Cumin
Alluvial,4.75,High,Rabi,Kerala,Maize,Soybean
Loamy,7.09,Medium,Zaid,Maharashtra,Groundnut,Groundnut
Red,7.03,Low,Rabi,Punjab,Groundnut,Wheat
Alluvial,8.02,Low,Rabi,Maharashtra,Sugarcane,Pulses
Black,7.44,High,Kharif,Telangana,Wheat,Rice
Sandy,7.53,Medium,Zaid,Gujarat,Groundnut,Soybean
Black,7.65,Medium,Zaid,Punjab,None,Rice
Loamy,7.31,Low,Zaid,Punjab,Sugarcane,Wheat
Laterite,8.31,High,Rabi,Punjab,Cotton,Rice
Laterite,7.9,Low,Rabi,Punjab,Wheat,Wheat
Sandy,5.94,High,Kharif,Haryana,None,Soybean
Laterite,7.16,Medium,Zaid,Maharashtra,Cotton,Maize
Alluvial,6.24,Low,Rabi,Haryana,Rice,Wheat
Laterite,5.73,Medium,Zaid,Tamil Nadu,Pulses,Rice
Red,6.36,Low,Zaid,Tamil Nadu,Pulses,Cumin
Clay,4.96,Medium,Zaid,Tamil Nadu,Pulses,Rice
Laterite,6.72,Medium,Zaid,Gujarat,Maize,Groundnut
Clay,5.35,High,Rabi,Maharashtra,Cotton,Groundnut
Red,7.62,Medium,Rabi,Tamil Nadu,Pulses,Pulses
Sandy,6.09,Medium,Rabi,Punjab,None,Banana
Black,7.21,Low,Zaid,Karnataka,Rice,Banana
Loamy,7.02,Medium,Rabi,Haryana,Rice,Rice
Alluvial,5.98,High,Rabi,Uttar Pradesh,Rice,Groundnut
