Soil_Type,Soil_pH,Moisture_Level,Season,Location_Region,Previous_Crop,Recommended_Crop
Loamy,4.57,Low,Zaid,Tamil Nadu,Rice,Banana
Laterite,6.88,High,Winter,Karnataka,Wheat,Rice
Clay,7.15,High,Rabi,Uttar Pradesh,None,Cotton
Laterite,5.89,Low,Kharif,Karnataka,Groundnut,Cumin
Alluvial,6.76,High,Rabi,Gujarat,Sugarcane,Pulses
Clay,8.11,Low,Winter,Maharashtra,Pulses,Soybean
Alluvial,6.92,Medium,Summer,Telangana,Rice,Pulses
Red,5.7,High,Winter,Haryana,Rice,Rice
Sandy,8.13,High,Rabi,Bihar,None,Wheat
Red,7.91,High,Rabi,Kerala,Wheat,Maize
Laterite,5.18,Medium,Rabi,Karnataka,Cotton,Maize
Red,7.99,High,Kharif,Bihar,Maize,Groundnut
Laterite,7.11,Medium,Summer,Gujarat,Cotton,Maize
Black,5.08,Medium,Winter,Tamil Nadu,Pulses,Cumin
Sandy,7.44,High,Winter,Punjab,Wheat,Cotton
Red,5.95,High,Winter,Uttar Pradesh,Rice,Cotton
Sandy,7.23,Low,Rabi,Telangana,Maize,Soybean
Black,5.12,Medium,Zaid,Gujarat,None,Wheat
Loamy,6.2,Low,Rabi,Punjab,Sugarcane,Pulses
Red,4.74,High,Winter,Gujarat,None,Wheat
Red,7.32,Low,Kharif,Telangana,None,Soybean
Red,6.69,Low,Kharif,Punjab,Groundnut,Sugarcane
Clay,5.5,High,Summer,Uttar Pradesh,Groundnut,Sugarcane
Red,7.72,High,Summer,Tamil Nadu,Groundnut,Pulses
Red,8.44,Medium,Zaid,Uttar Pradesh,Pulses,Wheat
Clay,8.28,High,Winter,Punjab,Groundnut,Rice
Black,4.73,Low,Winter,Kerala,Rice,Wheat
Red,6.03,Medium,Summer,Haryana,Sugarcane,Cotton
Laterite,7.32,Low,Kharif,Gujarat,Wheat,Maize
Sandy,8.08,High,Summer,Uttar Pradesh,Pulses,Banana
Clay,4.85,High,Kharif,Tamil Nadu,Sugarcane,Cumin
Sandy,4.95,Medium,Zaid,Kerala,Pulses,Sugarcane
Loamy,4.53,Low,Zaid,Maharashtra,Rice,Wheat
Red,4.81,Medium,Summer,Maharashtra,Wheat,Pulses
Clay,6.12,Low,Summer,Kerala,Wheat,Cotton
Loamy,7.49,Medium,Kharif,Maharashtra,Groundnut,Banana
Clay,8.07,Medium,Rabi,Telangana,Pulses,Banana
Clay,6.13,Low,Zaid,Gujarat,Cotton,Groundnut
Clay,5.39,Low,Summer,Haryana,Cotton,Pulses
Laterite,6.27,Low,Zaid,Kerala,Maize,Wheat
Black,6.32,Low,Zaid,Haryana,Pulses,Maize
Sandy,8.17,Medium,Zaid,Gujarat,None,Wheat
Sandy,6.54,Medium,Kharif,Karnataka,Sugarcane,Maize
Alluvial,7.33,Medium,Kharif,Uttar Pradesh,Pulses,Maize
Alluvial,6.23,High,Winter,Karnataka,Pulses,Banana
Black,6.67,High,Zaid,Tamil Nadu,Cotton,Soybean
Laterite,6.77,Medium,Summer,Punjab,Pulses,Rice
Red,7.83,High,Summer,Uttar Pradesh,Wheat,Sugarcane
Sandy,8.02,High,Winter,Gujarat,Wheat,Sugarcane
Clay,7.05,Medium,Zaid,Bihar,Groundnut,Cumin
Red,6.35,Medium,Winter,Bihar,Wheat,Rice
Black,7.49,Medium,Rabi,Uttar Pradesh,Rice,Cotton
Sandy,7.46,Medium,Winter,Haryana,Cotton,Sugarcane
